3.146800000000000000e+04,1.400000000000000000e+04,2.399200000000000000e+04,8.691000000000000000e+03,6.104000000000000000e+04,4.847000000000000000e+03,1.996000000000000000e+04,4.467300000000000000e+04,3.090800000000000000e+04,2.970000000000000000e+03,4.530000000000000000e+04,5.072000000000000000e+03,4.713000000000000000e+03,8.504000000000000000e+03,9.879000000000000000e+03,1.553000000000000000e+03
3.020000000000000000e+04,1.440000000000000000e+04,2.382000000000000000e+04,8.856000000000000000e+03,6.159200000000000000e+04,4.535000000000000000e+03,2.031500000000000000e+04,4.574100000000000000e+04,3.099800000000000000e+04,2.990000000000000000e+03,4.576000000000000000e+04,4.742000000000000000e+03,4.069000000000000000e+03,8.618000000000000000e+03,9.935000000000000000e+03,1.553000000000000000e+03
3.063300000000000000e+04,1.440000000000000000e+04,2.364200000000000000e+04,9.083000000000000000e+03,6.124700000000000000e+04,3.436000000000000000e+03,2.166700000000000000e+04,4.851000000000000000e+04,3.230800000000000000e+04,3.007000000000000000e+03,4.840000000000000000e+04,4.995000000000000000e+03,4.018000000000000000e+03,8.891000000000000000e+03,4.047000000000000000e+03,1.553000000000000000e+03
3.152300000000000000e+04,1.460000000000000000e+04,2.430100000000000000e+04,1.024000000000000000e+04,6.680400000000000000e+04,3.756000000000000000e+03,2.400000000000000000e+04,5.116100000000000000e+04,3.357300000000000000e+04,2.992000000000000000e+03,5.331100000000000000e+04,5.076000000000000000e+03,4.129000000000000000e+03,9.400000000000000000e+03,5.000000000000000000e+03,1.432000000000000000e+03
3.458700000000000000e+04,1.550000000000000000e+04,2.630000000000000000e+04,1.176600000000000000e+04,7.094600000000000000e+04,3.872000000000000000e+03,2.497000000000000000e+04,5.825400000000000000e+04,3.447500000000000000e+04,2.777000000000000000e+03,5.485300000000000000e+04,4.949000000000000000e+03,5.018000000000000000e+03,9.636000000000000000e+03,8.450000000000000000e+03,1.538000000000000000e+03
3.767600000000000000e+04,1.600000000000000000e+04,3.115600000000000000e+04,1.200400000000000000e+04,7.750100000000000000e+04,3.676000000000000000e+03,2.855200000000000000e+04,6.165400000000000000e+04,3.693300000000000000e+04,2.647000000000000000e+03,6.192800000000000000e+04,4.933000000000000000e+03,6.451000000000000000e+03,1.036700000000000000e+04,8.350000000000000000e+03,1.714000000000000000e+03
3.854300000000000000e+04,1.610000000000000000e+04,3.068500000000000000e+04,1.429900000000000000e+04,7.948100000000000000e+04,3.203000000000000000e+03,3.127400000000000000e+04,6.289500000000000000e+04,3.644400000000000000e+04,2.444000000000000000e+03,6.413400000000000000e+04,4.835000000000000000e+03,7.099000000000000000e+03,1.026300000000000000e+04,7.240000000000000000e+03,1.870000000000000000e+03
3.848400000000000000e+04,1.635000000000000000e+04,3.064800000000000000e+04,1.436800000000000000e+04,7.415700000000000000e+04,3.208000000000000000e+03,3.296800000000000000e+04,6.453200000000000000e+04,3.620000000000000000e+04,2.325000000000000000e+03,6.541700000000000000e+04,4.550000000000000000e+03,6.886000000000000000e+03,9.735000000000000000e+03,7.700000000000000000e+03,1.907000000000000000e+03
3.852400000000000000e+04,1.648000000000000000e+04,3.066700000000000000e+04,1.436800000000000000e+04,7.291000000000000000e+04,2.998000000000000000e+03,3.361500000000000000e+04,6.375800000000000000e+04,3.680000000000000000e+04,2.194000000000000000e+03,6.526100000000000000e+04,4.455000000000000000e+03,6.954000000000000000e+03,1.004500000000000000e+04,7.700000000000000000e+03,1.883000000000000000e+03
3.822200000000000000e+04,1.620000000000000000e+04,3.037500000000000000e+04,1.459900000000000000e+04,7.190500000000000000e+04,3.061000000000000000e+03,3.432300000000000000e+04,6.464500000000000000e+04,3.740000000000000000e+04,1.876000000000000000e+03,6.780000000000000000e+04,4.324000000000000000e+03,6.478000000000000000e+03,8.787000000000000000e+03,7.640000000000000000e+03,1.907000000000000000e+03
